                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.782,                 3.7746,                 1.0543,                0.01533,                0.33333,                0.01233,                0.00736,                 1.3355,                 3.6136,                0.90439,                  6e-05,                  6e-05,                  6e-05
                      2,                  1.549,                 3.3366,                0.94857,                  0.036,                0.78261,                 0.0535,                 0.0274,                 1.5394,                 3.4647,                0.94832,             0.00013861,             0.00013861,             0.00013861
                      3,                    1.8,                 2.2913,                 0.9245,                0.03867,                0.84058,                0.08866,                0.03286,                 1.6774,                 3.2976,                 0.9654,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.4992,                 1.7455,                0.91205,                0.04067,                0.88406,                0.36876,                0.19916,                 1.5958,                 2.9843,                0.93008,             0.00029109,             0.00029109,             0.00029109
                      5,                  1.556,                 1.4161,                0.93094,                0.04067,                0.88406,                 0.3056,                0.18312,                 1.3562,                 2.9657,                0.90349,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.5124,                 1.2593,                0.91722,                   0.04,                0.86957,                0.11989,                0.06894,                 1.3284,                 2.9397,                0.89469,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.5493,                 1.2834,                0.90905,                0.04133,                0.89855,                0.05338,                0.02441,                 1.7319,                 2.9074,                0.94729,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.6115,                 1.2568,                0.93189,                  0.042,                0.91304,                0.05882,                0.02797,                 1.5392,                 2.8946,                0.91653,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.4437,                 1.1136,                0.90845,                  0.042,                0.91304,                0.07741,                0.03958,                 1.4561,                 2.9361,                0.90434,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.4441,                 1.0842,                0.90182,                0.03533,                0.76812,                0.20028,                 0.0755,                  1.722,                  2.963,                0.93298,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.5614,                 1.0802,                0.92517,                0.03533,                0.76812,                0.48422,                0.24586,                 1.6308,                 2.8181,                0.90712,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.4628,                 1.0555,                0.93077,                      1,                0.42361,                0.66974,                0.27766,                 1.5803,                 2.6891,                0.90057,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.4422,                0.98735,                0.90906,                0.04803,                0.82609,                0.65676,                0.26911,                 1.5117,                 2.7361,                0.89854,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.5586,                 1.0126,                0.89455,                0.06193,                0.76812,                0.64791,                 0.3019,                   1.41,                 2.6684,                0.89591,             0.00095843,             0.00095843,             0.00095843
                     15,                 1.4148,                0.92437,                0.89486,                0.86162,                0.65217,                0.78185,                0.42989,                 1.3915,                 2.4001,                 0.9211,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.3997,                0.93072,                0.90399,                0.82179,                0.71014,                0.79004,                 0.4757,                 1.2456,                 2.3114,                0.89285,              0.0010729,              0.0010729,              0.0010729
                     17,                 1.4851,                0.95683,                0.93554,                0.91773,                0.32346,                0.81383,                0.48441,                 1.2914,                 2.1637,                0.88083,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.4742,                0.88944,                0.88556,                      1,                0.30963,                0.85462,                0.41949,                 1.5364,                 2.1511,                0.90509,               0.001181,               0.001181,               0.001181
                     19,                 1.3128,                0.88712,                0.91158,                0.46451,                0.23897,                0.45679,                0.24191,                 1.3394,                 2.3764,                0.89585,              0.0012327,              0.0012327,              0.0012327
                     20,                 1.4674,                0.92782,                0.91811,                0.84392,                0.31358,                0.58693,                0.32129,                 1.3327,                 2.4069,                0.90671,              0.0012828,              0.0012828,              0.0012828
                     21,                 1.5137,                0.92402,                0.91038,                0.95553,                 0.6228,                0.90835,                0.45416,                 1.5332,                 1.8346,                0.91172,              0.0013313,              0.0013313,              0.0013313
                     22,                 1.3804,                0.91389,                0.90494,                0.92418,                0.70664,                0.87023,                0.41693,                 1.6441,                 1.6738,                0.93133,              0.0013783,              0.0013783,              0.0013783
                     23,                  1.548,                0.92073,                0.89454,                0.89099,                0.71071,                0.87458,                0.47634,                 1.4805,                 1.7323,                0.89653,              0.0014236,              0.0014236,              0.0014236
                     24,                 1.3827,                0.89814,                0.91896,                0.90378,                0.68068,                0.87573,                0.46224,                 1.4785,                 1.6401,                0.89761,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.2554,                0.85036,                0.88589,                0.92221,                 0.7971,                0.92269,                0.41409,                 1.6283,                 1.3783,                0.92358,              0.0015096,              0.0015096,              0.0015096
                     26,                 1.4995,                0.87826,                0.93091,                0.90033,                0.84058,                0.90073,                0.45207,                 1.3981,                 1.2836,                0.87541,               0.001505,               0.001505,               0.001505
                     27,                 1.2726,                0.82865,                0.89849,                 0.9023,                0.85507,                0.90256,                0.50592,                 1.3247,                 1.3092,                0.87185,               0.001505,               0.001505,               0.001505
                     28,                  1.387,                0.82329,                0.91652,                0.85856,                 0.7918,                0.87041,                0.49326,                 1.4905,                 1.2785,                0.88951,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.3964,                0.81994,                0.89733,                0.88112,                0.85942,                0.90767,                0.42879,                 1.7802,                 1.2605,                  0.967,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.5832,                0.89251,                 0.9313,                0.87762,                0.83148,                0.89633,                 0.4712,                 1.5308,                 1.3271,                0.91268,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3938,                0.80728,                0.89062,                0.87124,                0.78456,                 0.8751,                0.55865,                 1.1906,                 1.3732,                0.85243,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.3393,                0.84077,                0.92689,                0.86914,                0.77006,                0.86849,                0.54273,                 1.2266,                 1.2776,                 0.8605,               0.001406,               0.001406,               0.001406
                     33,                 1.3558,                0.89024,                 0.8975,                0.88187,                0.86957,                0.85732,                0.42828,                 1.5448,                 1.2332,                0.91055,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3863,                0.82862,                 0.8914,                0.89102,                 0.8295,                0.86933,                0.45447,                 1.4772,                 1.2125,                 0.9016,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.3395,                0.81991,                0.89112,                0.94297,                0.81159,                0.88385,                0.53797,                 1.1988,                 1.0836,                0.86524,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3543,                0.80468,                0.92087,                0.85606,                0.86202,                0.88462,                0.54224,                 1.2204,                0.95048,                0.86605,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2998,                0.83124,                0.85985,                0.88277,                0.88406,                0.89348,                0.54442,                 1.2421,                0.90009,                0.86778,               0.001307,               0.001307,               0.001307
                     38,                 1.3346,                0.82445,                0.87465,                0.90732,                0.86957,                0.91621,                0.50781,                 1.3688,                0.96725,                0.88883,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2506,                0.74058,                 0.8742,                0.90829,                0.86129,                0.92442,                0.50888,                 1.4256,                0.98575,                0.89542,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3101,                0.74856,                0.88889,                0.96534,                0.80738,                0.92805,                0.54911,                 1.3448,                0.93749,                0.88993,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1973,                0.73403,                 0.8752,                0.95051,                0.83504,                0.92067,                0.56385,                 1.3414,                0.87449,                0.88332,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2026,                 0.7691,                0.86879,                0.89871,                0.84058,                0.90706,                0.56592,                 1.2492,                0.83698,                0.86264,               0.001208,               0.001208,               0.001208
                     43,                  1.214,                 0.7404,                0.87538,                0.89277,                0.86957,                0.90727,                0.58968,                 1.2776,                0.78623,                0.87678,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2082,                0.74645,                0.87274,                0.92416,                0.88301,                0.92565,                0.56032,                 1.4221,                0.80192,                 0.9047,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2821,                0.74756,                0.86717,                0.95826,                0.84058,                0.92944,                0.50771,                 1.6417,                0.85982,                0.94201,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2297,                0.73294,                0.87602,                0.90258,                0.94203,                 0.9322,                0.47909,                 1.6512,                0.85579,                0.94579,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2179,                0.71062,                 0.8653,                0.90132,                0.94203,                0.92948,                0.51325,                 1.4904,                  0.836,                0.91072,               0.001109,               0.001109,               0.001109
                     48,                 1.1827,                 0.7005,                0.85447,                0.87697,                0.94203,                0.92997,                0.52826,                 1.4318,                0.81096,                0.89402,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1019,                0.68767,                0.86237,                0.89792,                0.94203,                0.92995,                0.45319,                 1.6567,                0.89621,                0.93145,              0.0010694,              0.0010694,              0.0010694
