                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8992,                 3.6995,                 1.0148,                  0.026,                0.56522,                0.03086,                 0.0169,                 1.4075,                 3.5392,                0.91566,                0.00012,                0.00012,                0.00012
                      2,                 1.8446,                 2.2476,                 0.9409,                0.03667,                 0.7971,                0.20403,                 0.1008,                 1.4618,                 3.1669,                0.90088,             0.00025743,             0.00025743,             0.00025743
                      3,                 1.6921,                 1.4334,                 0.9211,                0.03933,                0.85507,                0.16437,                0.09822,                 1.3373,                 2.9588,                0.88609,             0.00039208,             0.00039208,             0.00039208
                      4,                 1.6842,                 1.2849,                 0.9467,                0.04067,                0.88406,                0.08264,                0.04693,                 1.4688,                 2.8876,                 0.9098,             0.00052396,             0.00052396,             0.00052396
                      5,                 1.5407,                 1.1415,                0.92588,                  0.042,                0.91304,                0.41056,                0.19726,                 1.5906,                 2.7937,                0.94452,             0.00065307,             0.00065307,             0.00065307
                      6,                 1.3951,                 1.0551,                0.90859,                  0.038,                0.82609,                 0.3866,                0.19622,                 1.4035,                 2.8488,                0.90291,             0.00077941,             0.00077941,             0.00077941
                      7,                 1.5677,                 1.0574,                0.94548,                0.03267,                0.71014,                 0.2094,                0.09934,                 1.4666,                 3.0126,                0.88059,             0.00090298,             0.00090298,             0.00090298
                      8,                 1.5197,                 1.0681,                0.92959,                  0.024,                0.52174,                 0.1277,                0.07026,                 1.3875,                 3.1967,                0.89155,              0.0010238,              0.0010238,              0.0010238
                      9,                 1.6162,                 1.0242,                0.92205,                   0.02,                0.43478,                0.05861,                0.03687,                 1.2889,                 3.2922,                0.89853,              0.0011418,              0.0011418,              0.0011418
                     10,                 1.5547,                0.95467,                0.90233,                  0.032,                0.69565,                0.37364,                0.22758,                 1.2999,                 2.8521,                0.87619,               0.001257,               0.001257,               0.001257
                     11,                 1.5267,                0.97716,                0.89321,                0.91325,                0.23188,                0.68805,                0.39564,                  1.352,                 2.3602,                0.87858,              0.0013695,              0.0013695,              0.0013695
                     12,                 1.3905,                0.89397,                0.90105,                      1,                0.18813,                0.55866,                0.32529,                 1.2316,                 2.7414,                0.87006,              0.0014792,              0.0014792,              0.0014792
